,state_farm
3580,30824-1136
3581,31794-4024
3582,31794
3583,31794-3881
3584,31794-3205
3585,30577-6297
3586,30752
3587,30752
3588,30084-4009
3589,30084
3590,30084-4401
3591,30084-2138
3592,30084
3593,30084
3594,30084-4434
3595,30084-4911
3596,30084-8118
3597,30290-2152
3598,30290-2800
3599,30290-2065
3600,30290-1625
3601,31602-1212
3602,31602-1019
3603,31602
3604,31602-1981
3605,31602
3606,31602
3607,30474
3608,30474
3609,30673
3610,30677-1832
3611,30677-2515
3612,30677
3613,30677-6011
3614,31501-2907
3615,31501-1946
3616,31503-6566
3617,31501-3452
3618,30830-0767
3619,30680-2553
3620,30680-2156
3621,30188
3622,30189-8231
3623,30189-4289
3624,30188-3686
3625,30189-3722
3626,30188-7835
3627,30188
3628,30188-6330
3629,30188-6330
3630,30188
3631,30833-1177
3632,31096-2000
3633,30295-0547
3634,96701-4329
3635,96701
3636,96701-4305
3637,96701
3638,96701-3975
3639,96701
3640,96720-4563
3641,96720-2446
3642,96720-4243
3643,96720-4143
3644,96819-4553
3645,96825-1279
3646,96813
3647,96826
3648,96816-2742
3649,96814-3516
3650,96814
3651,96813-3921
3652,96819-1946
3653,96822-1807
3654,96817-5327
3655,96814-3141
3656,96816-3759
3657,96813-5138
3658,96814
3659,96814-3216
3660,96816-1353
3661,96816
3662,96817
3663,96814-1807
3664,96825
3665,96814
3666,96813-5419
3667,96826
3668,96816-2663
3669,96817-4939
3670,96816
3671,96818-3153
3672,96814
3673,96814
3674,96732-1626
3675,96732-3215
3676,96734-2290
3677,96734-2542
3678,96734-2800
3679,96743-8441
3680,96744-1900
3681,96744-3714
3682,96746-1831
3683,96746-1574
3684,96707-2016
3685,96707
3686,96707
3687,96707
3688,96749
3689,96753-5222
3690,96753-7062
3691,96761
3692,96761-2409
3693,96766-1380
3694,96766-2021
3695,96768
3696,96768-8518
3697,96789
3698,96789
3699,96789-1788
3700,96786-2000
3701,96786-2046
3702,96793-1465
3703,96793
3704,96793-1702
3705,96797-5329
3706,96797
3707,96797-3032
3708,96797-4082
3709,96797
3710,96797-1841
3711,83406
3712,83221-1652
3713,83221-2017
3714,83221-2720
3715,83702-6730
3716,83702-4077
3717,83709
3718,83706-4302
3719,83714-8329
3720,83706-5064
3721,83704-9059
3722,83706-3708
3723,83702
3724,83714
3725,83713
3726,83703-3332
3727,83713-0952
3728,83705-7341
3729,83704-8574
3730,83704
3731,83714-1457
3732,83709-1907
3733,83702-4041
3734,83705-2817
3735,83318-2957
3736,83318-1836
3737,83605-4686
3738,83605-4343
3739,83605-3731
3740,83202
3741,83202-2317
3742,83612
3743,83616-6599
3744,83616-6764
3745,83616-4977
3746,83617
3747,83619-2180
3748,83330-1834
3749,83530-1240
3750,83333
3751,83835-9665
3752,83835
3753,83338-6207
3754,83837-2111
3755,83340
3756,83634
3757,83501-2559
3758,83501-5300
3759,83642-1798
3760,83646
3761,83642-9290
3762,83642-1651
3763,83254-1225
3764,83843-2006
3765,83843
3766,83686-6102
3767,83686
3768,83651
3769,83651-6526
3770,83347-0180
3771,83201-2443
3772,83201-5278
3773,83201-4478
3774,83201-3621
3775,83201-6502
3776,83201-4540
3777,83263
3778,83858-6476
3779,83440-1643
3780,83440-2317
3781,83442-1410
3782,83442-1426
3783,83467-4304
3784,83864-5186
3785,83864-1828
3786,61410-1285
3787,60101-3809
3788,60101
3789,60101-3807
3790,62806-1021
3791,61231-2043
3792,60102-1451
3793,60102
3794,60803-1612
3795,60803-6021
3796,62411-1446
3797,62002-7107
3798,62002-3925
3799,62002-5902
3800,61310-1211
3801,62906-0664
3802,60002-1406
3803,60002-1226
3804,61723
3805,62615-9687
3806,60504-7202
3807,60506-3854
3808,60503-6409
3809,60504-8178
3810,60506-4106
3811,60504
3812,60506
3813,60506
3814,60504
3815,60506-1345
3816,60506
3817,60505-2067
3818,60505-5816
3819,60502-8930
3820,60010-4205
3821,60010-4572
3822,60010
3823,60103-4234
3824,60103-1670
3825,60103-6500
3826,61607-3703
3827,60510
3828,60510-2450
3829,62618-8027
3830,60401-3781
3831,62221-5533
3832,62221-2491
3833,62220-2823
3834,62223-3022
3835,62226-5959
3836,62226-4731
3837,62221-3304
3838,60104-1100
3839,61008-9360
3840,61008-3707
3841,61008
3842,60106-3365
3843,60106-2126
3844,62812-1016
3845,62812-1021
3846,60402
3847,60402-5422
3848,60402-3263
3849,60402-2683
3850,60402-1065
3851,60402
3852,62010-1886
3853,62010-1703
3854,60108-2357
3855,60108-1105
3856,60108
3857,61704-7925
3858,61704
3859,61704
3860,61704-4581
3861,61704-4471
3862,61704
3863,61704
3864,61704-2484
3865,61701-5833
3866,61704-2501
3867,61701-4321
3868,60440-2864
3869,60440-1751
3870,60490-1549
3871,60914-1268
3872,60914
3873,60914
3874,60915-1202
3875,60915
3876,60915-0429
3877,60915-2004
3878,62230-0217
3879,60455-1529
3880,60455-1926
3881,60155
3882,60155-3020
3883,60513-1998
3884,60513-1249
3885,60459-2719
3886,60459-1403
3887,60459-1182
3888,60459-2523
3889,61010-0274
3890,62206-2461
3891,62914-1373
3892,61520-2935
3893,61520-1733
3894,62901-2276
3895,62901-2538
3896,62901-3304
3897,62626
3898,62231-1816
3899,62821-1372
3900,62821-0366
3901,62016-1027
3902,62918
3903,62321-1433
3904,60013-2718
3905,60013-1891
3906,60013
3907,62420
3908,62801
3909,62801-3131
3910,62801-4562
3911,61820-7265
3912,61820-3848
3913,61821-2987
3914,61822-7668
3915,61821-4352
3916,61820-2552
3917,61820-4816
3918,61820-7230
3919,60410-0111
3920,61920-3045
3921,61920-2524
3922,62629-1701
3923,62233-1312
3924,61523-2002
3925,62822-0152
3926,60804-2130
3927,60804-4273
3928,60804-2934
3929,61727-1329
3930,61727-1656
3931,62234-4480
3932,62234-2939
3933,62234-4855
3934,62234-4659
3935,62236
3936,62236-2540
3937,62236-1070
3938,60525
3939,60525-2848
3940,60525-6645
3941,60525
3942,60418
3943,60417-2137
3944,60417-2056
3945,61832
3946,61832-1440
3947,61832-3942
3948,61832-3945
3949,61832-4371
3950,60561-4287
3951,60561
3952,60561-5944
3953,62522-2116
3954,62526-3229
3955,62526-6163
3956,62526-4729
3957,62521
3958,62526-2833
3959,62526-6521
3960,62521-1576
3961,60015-4929
3962,60015-3205
3963,60115-2470
3964,60115-2092
3965,60416
3966,61021
3967,61021-3135
3968,60419-2134
3969,60420-1543
3970,62025-2549
3971,62025-2090
3972,62025
3973,62025-3518
3974,62025
3975,62401-2668
3976,62401-3619
3977,60119-9167
3978,62930-1526
3979,60123-6033
3980,60123
3981,60120-5545
3982,60120-4724
3983,60123-5818
3984,60120-2200
3985,60126-2138
3986,60126
3987,60126-4466
3988,60126-2726
3989,60126-2003
3990,60126-0359
3991,60126-3951
3992,61530-0313
3993,60202-1705
3994,60201
3995,60202-3735
3996,60202-2307
3997,60202-1964
3998,60201-1510
3999,61739-1487
4000,62837-2315
4001,62837-1624
4002,61531-1217
4003,62839-2033
4004,60422-1100
4005,60422-1561
4006,60422
4007,62535-9626
4008,60423-6400
4009,60423-9421
4010,60423-6730
4011,60423
4012,62243
4013,62243-4076
4014,61032-3108
4015,61032-3910
4016,61032-2537
4017,61032-6855
4018,61036-1365
4019,61401-8606
4020,61401-2571
4021,61401-3506
4022,61254-1345
4023,61254-1347
4024,60134-3911
4025,60134-0763
4026,60135-5402
4027,62033-3030
4028,60938
4029,60022-1528
4030,60025
4031,60025-3771
4032,60025-3022
4033,60026-1692
4034,60026
4035,60025-1606
4036,60025-3074
4037,60425-1046
4038,60425-1756
4039,62035-1808
4040,62035-2451
4041,60030-3605
4042,60030
4043,60030-7820
4044,60030-3355
4045,62428-1123
4046,62246-2217
4047,60031-1735
4048,60031-2706
4049,60031-5712
4050,60031-2106
4051,60030
4052,62341
4053,62341-1144
4054,60140-0185
4055,62946
4056,62946-1902
4057,60033-3200
4058,62644-1138
4059,62948-3816
4060,62948-0488
4061,62249
4062,62249-1160
4063,60040-1124
4064,62049-1546
4065,60162-1412
4066,60162-1829
4067,60521-2467
4068,60521-3403
4069,60521-3738
4070,60521-3633
4071,60430
4072,60430-2804
4073,60430-1232
4074,60430-2038
4075,60430-3169
4076,60430
4077,60942-1505
4078,60142-9770
4079,60142
4080,60143-2023
4081,62650-1700
4082,62650-3115
4083,62650
4084,62052-2359
4085,62052-1652
4086,60435
4087,60435-2443
4088,60435-6818
4089,60435-1204
4090,60435-1309
4091,60432-1703
4092,60435-8416
4093,62952-0009
4094,60458
4095,60901-3175
4096,61443-3165
4097,61443-2201
4098,61540-1209
4099,60438-3153
4100,60438
4101,60438-2870
4102,60438-3821
4103,62439-2320
4104,62254-1393
4105,60439-4603
4106,60439-2905
4107,60439-7223
4108,61542-0149
4109,60048-3796
4110,60048
4111,60048-1757
4112,60048-0391
4113,62656
4114,62656-2131
4115,60712-1621
4116,60712-3919
4117,60712-1028
4118,60046-7820
4119,60532-1980
4120,60532-1724
4121,60532-4139
4122,60532
4123,62056-1931
4124,60441-3197
4125,60441-3235
4126,60148-7303
4127,60148-3371
4128,60148-1303
4129,60148-3951
4130,60148-5390
4131,60148-7425
4132,60148-4142
4133,60534-1568
4134,61455-1927
4135,61455-1597
4136,61455-2407
4137,61853
4138,60950-8979
4139,60152-2205
4140,62959
4141,62959
4142,60428-4045
4143,62441-3108
4144,62062
4145,62258-1350
4146,60443-3714
4147,60443-3818
4148,60443-1811
4149,61938-4305
4150,61938
4151,61938-4322
4152,60153-1702
4153,61342-1668
4154,62960-2149
4155,60445-3117
4156,60445-3405
4157,60445-3298
4158,61264
4159,61264-2321
4160,60447-8807
4161,60448-8208
4162,60448-7400
4163,61265-7168
4164,61265-4632
4165,61265
4166,61265-5006
4167,61265-6404
4168,61265-5015
4169,60449
4170,60449-8091
4171,61462-1773
4172,60538-1634
4173,61856-1638
4174,61856-1179
4175,60450-1183
4176,60450-1852
4177,61550-1536
4178,61550-2027
4179,60060
4180,60060-4448
4181,60060-0815
4182,62966-0385
4183,62966-1909
4184,60563-7905
4185,60564-9772
4186,60563-3163
4187,60540-4683
4188,60565-6374
4189,60564-5205
4190,60565-9316
4191,60563
4192,60564-4721
4193,60563-4846
4194,60564-8282
4195,60563-0727
4196,60564-5116
4197,60565-7200
4198,60540-5915
4199,62263-1033
4200,62448-1501
4201,60714-4417
4202,60714
4203,60714-3167
4204,60714
4205,60714-3220
4206,60714-1538
4207,60714-2827
4208,60714-1215
4209,62075-1650
4210,61761-5818
4211,61761-6155
4212,61761-2197
4213,60706-3136
4214,60706-3211
4215,60062
4216,60062
4217,60062-2328
4218,60062-2129
4219,60164-2600
4220,60164-2524
4221,61348-1452
4222,62450-1142
4223,62450-2262
4224,61061-0160
4225,60543-8267
4226,60543-9040
4227,60543-5105
4228,61350-2018
4229,61350-2107
4230,61350-1690
4231,60067-2561
4232,60067-5027
4233,60074-6300
4234,60074
4235,60067-6255
4236,60067-5326
4237,60074
4238,60074-8510
4239,61944-1507
4240,61944-2771
4241,60957-1221
4242,61554-6202
4243,61554-5847
4244,61554-3805
4245,61554-7511
4246,61604
4247,61614
4248,61614-7571
4249,61615-1936
4250,61604-3224
4251,61615-2087
4252,61614
4253,61615-2417
4254,61614-5918
4255,61614-4347
4256,61614-4886
4257,61614-4357
4258,61614-2922
4259,61604-3557
4260,61614-6900
4261,61615-4230
4262,61615-1936
4263,61354-3323
4264,61354-1373
4265,62675-1563
4266,62274-1452
4267,62363-1360
4268,60544-1659
4269,60586
4270,60586-2732
4271,60585
4272,61764-1676
4273,61764-1705
4274,61356-1729
4275,62305
4276,62301-4955
4277,62305
4278,62305
4279,62301-6759
4280,62301-3654
4281,61866-2414
4282,60546-2146
4283,60015-3512
4284,62454
4285,61068-2322
4286,61068-1646
4287,61114
4288,61108-8097
4289,61114
4290,61108-1978
4291,61108-2376
4292,61108-4945
4293,61108-1652
4294,61101-9507
4295,61103
4296,61108-3939
4297,61108-2388
4298,61114-8053
4299,61104
4300,61072-2246
4301,60446-4945
4302,60446-1374
4303,61073
4304,61073-6100
4305,61073-9222
4306,60172-3387
4307,60172-2302
4308,62681
4309,62881-2000
4310,62881-1311
4311,60548-2204
4312,61074-1624
4313,61874
4314,60194-3654
4315,60193-2083
4316,60173-4511
4317,60194-3893
4318,60173-4821
4319,60194-1331
4320,60193-2975
4321,60173-4796
4322,60193
4323,60193-3524
4324,62565-1259
4325,62684-9639
4326,62269
4327,60404-9706
4328,60404-7608
4329,61282-2903
4330,61282-1046
4331,60076-2441
4332,60077-2903
4333,60076
4334,60076-3116
4335,60077-1835
4336,60077-3645
4337,62286-1633
4338,62702
4339,62704-1375
4340,62703
4341,62703-4314
4342,62702-3695
4343,62704
4344,62703-2510
4345,62702-2550
4346,62711-9515
4347,62704
4348,62704
4349,62711-9671
4350,62704-4179
4351,62704-4197
4352,62702-1205
4353,62704-1484
4354,62088-1401
4355,62288-1416
4356,60475-1058
4357,61081-4131
4358,61081-2922
4359,60402-4071
4360,60107-1841
4361,60107-2950
4362,60107-1966
4363,61364
4364,61364-1317
4365,61951-1506
4366,60501-1219
4367,62226-7612
4368,60178-3322
4369,60178-1814
4370,62568-1524
4371,62568-1831
4372,62568
4373,61568-0043
4374,62293-1301
4375,62294-1338
4376,61953-1978
4377,61801
4378,61801-2655
4379,61802-7832
4380,61801-6012
4381,62471
4382,62995-0617
4383,62690-1450
4384,60555-1444
4385,61571-2278
4386,61571
4387,62298-1078
4388,62298-0097
4389,62298
4390,60970-1380
4391,60084-2456
4392,60085-4822
4393,60085
4394,60085-5347
4395,60085-2468
4396,60154-5249
4397,60154-5201
4398,60154-5111
4399,60154-2687
4400,60154-4322
4401,60559
4402,60559
4403,60559-2709
4404,60559-1864
4405,60559-5554
4406,61883-1462
4407,60187-5234
4408,60187-4938
4409,60187-3579
4410,60189
4411,60187-6805
4412,60187-3579
4413,60187-2438
4414,60187-2438
4415,60090
4416,60090-3952
4417,60527
4418,60527-2982
4419,60091
4420,60091-2489
4421,60091-2877
4422,60481-1796
4423,62694-1023
4424,61088
4425,60093-1719
4426,60093-4006
4427,60517-2850
4428,60517-1510
4429,60517-1510
4430,60517-2926
4431,60098-4634
4432,60098-3214
4433,60482-1911
4434,60482-1849
4435,61491-1494
4436,60560
4437,60560-4567
4438,60099-3243
4439,60099-2396
4440,46001-2006
4441,46001
4442,46016-5201
4443,46016-5201
4444,46012-2572
4445,46013-2832
4446,46013-1507
4447,46016-1532
4448,46012-4302
4449,46703-1429
4450,46703-2372
4451,46703-1550
4452,47918-1332
4453,46706-2061
4454,46706-1618
4455,46706-1613
4456,47001-1530
4457,46123-7170
4458,46123
4459,46123-8176
4460,47006-0268
4461,47421-4227
4462,47421
4463,47421
4464,47512-1006
4465,47424-1445
4466,47401-7382
4467,47401-5371
4468,47408-2651
4469,47408-3311
4470,47404-9152
4471,47408-6317
4472,47404-4894
4473,47404-5079
4474,47403-1513
4475,47401-5825
4476,46714-0606
4477,46714-1378
4478,47601
4479,47601
4480,47834-2718
4481,47834
4482,46506-1829
4483,47923
4484,47012-1008
4485,46112-2208
4486,46112-0750
4487,46112
4488,46112-8074
4489,47220-1531
4490,46113-9239
4491,46032-1764
4492,46032-7938
4493,46032-8713
4494,46032
4495,46032
4496,46033-5807
4497,46032-2528
4498,46032
4499,47111-1933
4500,46304-1511
4501,46304-2428
4502,46304-1515
4503,46304-9110
4504,46304-2318
4505,47129
4506,47129-1905
4507,47842-2406
4508,47842-1419
4509,47201-4279
4510,47203
4511,47201-3732
4512,47201-5326
4513,47201-6246
4514,47203-3161
4515,47201-5326
4516,47201
4517,47331
4518,47331-2514
4519,47112-2068
4520,47112-0238
4521,47112-2010
4522,47932-8101
4523,47933-9452
4524,46122
4525,46122-1704
4526,46733-1702
4527,46733-1667
4528,46923-1563
4529,46311-1939
4530,46311-1815
4531,46311-1050
4532,46311-1926
4533,46516-9772
4534,46516-9345
4535,46514
4536,46514-9353
4537,46517-1350
4538,46517
4539,46516-5514
4540,46514-3622
4541,46517-3509
4542,47429-1533
4543,46036-1225
4544,47715-2267
4545,47714-1444
4546,47710-3807
4547,47715-4065
4548,47714
4549,47715
4550,47712
4551,47710-3172
4552,47715-7308
4553,47711-2950
4554,47715-1980
4555,47712
4556,47714
4557,47715-1351
4558,47715
4559,47711-6012
4560,47712
4561,46928-1628
4562,46038-2815
4563,46037-1103
4564,46038
4565,46038-4463
4566,46038-2034
4567,46038-2312
4568,46037
4569,46038-2815
4570,47944-1444
4571,46041-2370
4572,46041-2603
4573,46131-2754
4574,46131
4575,46410-1552
4576,46408-2476
4577,46408-1423
4578,46407-1325
4579,47122
4580,46526-5457
4581,46526-2334
4582,46526-4719
4583,46528
4584,46530
4585,46530-4339
4586,46530-8845
4587,46530
4588,46135-1850
4589,46135
4590,46135-2269
4591,46140-1954
4592,46140-1085
4593,46140-1056
4594,47240
4595,47240-0028
4596,46143-8895
4597,46142-1439
4598,46142-1567
4599,46142-1439
4600,46142
4601,46143
4602,46143
4603,46142-9195
4604,46143-2479
4605,46142-3120
4606,46143-1438
4607,46319
4608,46319-1167
4609,46319
4610,46324-2045
4611,46323-1509
4612,46327-1520
4613,46324
4614,46323-2570
4615,46323
4616,46324-1326
4617,46322
4618,46322-3627
4619,46322-2048
4620,46322-2668
4621,46322
4622,46322-2559
4623,46322-1623
4624,46342
4625,46342-4440
4626,46342-4443
4627,46748
4628,47542-9104
4629,46750-8958
4630,46750
4631,46750-3638
4632,46226-1402
4633,46234-3819
4634,46240-4571
4635,46229
4636,46268-2269
4637,46256-3329
4638,46220-2400
4639,46268-1005
4640,46236-2999
4641,46227-8538
4642,46236-2770
4643,46278-1681
4644,46278-1753
4645,46217-2912
4646,46237-9301
4647,46227-5957
4648,46280
4649,46268-1502
4650,46250-2022
4651,46229-1802
4652,46260
4653,46240-4399
4654,46268
4655,46216-1037
4656,46227
4657,46237
4658,46250
4659,46237-1967
4660,46256
4661,46239-8621
4662,46217-5394
4663,46228-1728
4664,46219-0269
4665,46208-4070
4666,46256-9406
4667,46254-6158
4668,46227-1939
4669,46220-1987
4670,46220-4885
4671,46220-4868
4672,46280
4673,46227-6568
4674,46227-4273
4675,46214
4676,46214-6506
4677,46260
4678,46237-3223
4679,46268-1905
4680,46240-6854
4681,46220-4544
4682,46217-3731
4683,46250
4684,46250-3585
4685,46219-3632
4686,46231-1117
4687,46203-1153
4688,46260
4689,46236
4690,46219-6824
4691,46254-1511
4692,46268-1905
4693,46205-1510
4694,46204-1502
4695,46234
4696,46239-1338
4697,47546-1326
4698,47547-0623
4699,47546-3299
4700,46755-1430
4701,46755-1155
4702,46148-1249
4703,46534-0275
4704,46902-3742
4705,46902-3456
4706,46902-3714
4707,46902-5397
4708,46902-7319
4709,46901-4112
4710,46902
4711,47905-2463
4712,47905-4800
4713,47904-2712
4714,47905-9516
4715,47909
4716,47905
4717,47904-3175
4718,47905-1562
4719,47905
4720,47025-1882
4721,47025-1057
4722,46052-1776
4723,46052-2113
4724,47353-1349
4725,46767-0227
4726,47441-1820
4727,46947-4423
4728,46947
4729,46947
4730,46356
4731,46356-2303
4732,47250
4733,47250-4601
4734,47250-1609
4735,46952-3748
4736,46952-2571
4737,46953
4738,46952-3536
4739,46952-3296
4740,46151-2754
4741,46151-1924
4742,46410-5337
4743,46410
4744,46410
4745,46410-3801
4746,46410-3539
4747,46410-8901
4748,46410-5430
4749,46410-5061
4750,46410-5061
4751,46540-9700
4752,47356-1027
4753,46545-1304
4754,46545-7075
4755,46545-4217
4756,46545-3104
4757,46545-7075
4758,47960
4759,47960-2001
4760,46158-1639
4761,46158-0129
4762,46158-2733
4763,46160-9547
4764,47304-1429
4765,47304-4309
4766,47303-2123
4767,47304-2255
4768,47303
4769,47303
4770,47303-2853
4771,47302-4158
4772,47304-1776
4773,46321-1238
4774,46321-2209
4775,46321-3962
4776,46321-1721
4777,46321-3134
4778,46550
4779,47448
4780,47630
4781,47630
4782,46060
4783,46060-2215
4784,46060
4785,46060-1301
4786,46062
4787,46060
4788,46561-9507
4789,46561-2060
4790,47454-1410
4791,46064
4792,46064-9079
4793,46064-1104
4794,46970
4795,46970-1954
4796,46168-2339
4797,46168-8770
4798,46168-7484
4799,46168
4800,46563
4801,46563-3447
4802,46563
4803,46368-3514
4804,46368-5147
4805,46368-4946
4806,46368
4807,46368-4446
4808,47371-1344
4809,47371-3174
4810,47670-2656
4811,47978-2666
4812,47978-2666
4813,47374
4814,47374-5926
4815,47374-5521
4816,47374-3821
4817,47374-3863
4818,47374
4819,46783
4820,46975-2038
4821,47872
4822,46173
4823,47167-1032
4824,47167-9167
4825,46375-1200
4826,46375-2810
4827,47170-1102
4828,47170-5919
4829,47172-1224
4830,47274
4831,47274-1089
4832,47274-2753
4833,46176-2161
4834,46176-1312
4835,46176
4836,46224-6526
4837,47460-1574
4838,47882-1525
4839,47882-0308
4840,46567-1981
4841,46072-1857
4842,46072-8750
4843,46383
4844,46383
4845,46385
4846,46383-2244
4847,46385-5802
4848,46383-6973
4849,46385-7900
4850,46383-6207
4851,47042-8396
4852,47043-0065
4853,47591-6329
4854,47591
4855,47591
4856,46992-1224
4857,46992-1812
4858,46573-0572
4859,46574-1218
4860,46582-3901
4861,46580-2913
4862,46580-2812
4863,46580-3950
4864,47501-4517
4865,47501
4866,46062-8935
4867,46074-8767
4868,46074-7738
4869,46391
4870,46075-0065
4871,46394-1515
4872,46394-1602
4873,46996-0229
4874,47394-9219
4875,47396-1075
4876,46077
4877,46077
4878,46077-1617
4879,46077-1231
4880,46077
4881,46077
4882,50003-2076
4883,51001
4884,52531-2032
4885,50511
4886,50009
4887,50010-8063
4888,50010-3959
4889,50014-5534
4890,50010-6359
4891,50023
4892,50023-3137
4893,50023-7216
4894,50021-9118
4895,50022-1452
4896,50022-1806
4897,51521-0188
4898,50833
4899,52722
4900,52722-2683
4901,52722
4902,52722
4903,52722-4765
4904,52537
4905,50036-2711
4906,50423-1658
4907,52601-2137
4908,52601-1908
4909,51401
4910,51401-2507
4911,52544-1733
4912,51012-1835
4913,51632-1605
4914,50525-1406
4915,52732-7237
4916,52732-6402
4917,52732
4918,50325
4919,50325-8252
4920,52241-2921
4921,52241-2696
4922,50060-1518
4923,52136-1843
4924,50801-1351
4925,52807
4926,52807
4927,52807-3020
4928,52806-5368
4929,52807-3873
4930,52804-3359
4931,52807-7205
4932,52806-5419
4933,52806
4934,52806-4011
4935,52101-1732
4936,51442-1923
4937,52003-7123
4938,52002-3800
4939,52002-3800
4940,52001-8403
4941,52003-6727
4942,52040-1204
4943,50627
4944,52748-1720
4945,50536-2443
4946,51334-2217
4947,52556-3247
4948,52556-3217
4949,51534-1724
4950,50111-2138
4951,50112-8160
4952,50112-1646
4953,50441
4954,51537-2056
4955,51537-1439
4956,52233-2366
4957,50548-1070
4958,50644-2812
4959,50125-1455
4960,50125
4961,50129-1019
4962,50131-1217
4963,50131
4964,52632-2738
4965,50138-2526
4966,50140
4967,52057-2305
4968,51455-1071
4969,52060
4970,52301
4971,52302
4972,52302-3749
4973,52302-5743
4974,50158-4793
4975,50158-2972
4976,50158-2902
4977,52310-1704
4978,52761
4979,52761-2283
4980,52761
4981,50201-2778
4982,50208-3729
4983,50208
4984,50459-1446
4985,50662
4986,50662
4987,51040-1631
4988,50461-1822
4989,50213-0534
4990,52577-2033
4991,52577
4992,52501-4216
4993,52501-4121
4994,50219
4995,50220-1703
4996,50574
4997,51201-1163
4998,51601-1675
4999,51249-1506
5000,51301-5333
5001,51301
5002,52772
5003,52342-1053
5004,50675-1136
5005,50323
5006,50322-3845
5007,50322-4321
5008,50322
5009,50322-7922
5010,52349-1150
5011,52653-0241
5012,52353-1747
5013,52353-2035
5014,50701-2467
5015,50701-3333
5016,50702-3300
5017,50702-5839
5018,50702-3531
5019,50701-2467
5020,50263-8137
5021,50263-1056
5022,52172-1935
5023,50677-4322
5024,50677-3144
5025,52778-0069
5026,50273-0272
5027,50273-1530
5028,67410-0489
5029,67002-9608
5030,67003-2745
5031,66002-2837
5032,66002-2686
5033,67010-1108
5034,66007-5281
5035,66935
5036,67420-1601
5037,66839-1401
5038,66720
5039,66720-1842
5040,67337-0838
5041,67701-2801
5042,66725-1220
5043,66901-2914
5044,67037-1823
5045,67037-2289
5046,67037-1603
5047,67839-0757
5048,67950-0510
5049,67526-0206
5050,67637
5051,67439-3215
5052,66801-2701
5053,66801-0605
5054,66025-9769
5055,67045-2149
5056,66736
5057,66030-1314
5058,66032
5059,66743-1546
5060,67735-2942
5061,67054-1730
5062,67601
5063,67601-1908
5064,67601-4146
5065,67449
5066,66434-2204
5067,67063-1139
5068,67544-2503
5069,66436-0388
5070,67951-2419
5071,67502-3401
5072,67501
5073,67501-5660
5074,67502-7510
5075,67502-8447
5076,67502-2409
5077,67301-0983
5078,66749-3201
5079,67068
5080,66043-1610
5081,67550-3050
5082,66046-4039
5083,66047
5084,66046-4039
5085,66049-2949
5086,66049
5087,66048-1098
5088,66211-1934
5089,66209
5090,66209-1201
5091,66215-2408
5092,66215-2808
5093,66220-9763
5094,66215-1669
5095,66219-1409
5096,66215-2889
5097,66219-1204
5098,66219-9703
5099,67861-0604
5100,67901-2287
5101,67901-2441
5102,67455
5103,67554-2720
5104,67101-0460
5105,66502
5106,66502-2871
5107,66502-5924
5108,66502-2825
5109,66861-1436
5110,66508-1815
5111,66202-2957
5112,67467
5113,67110
5114,66757-1673
5115,67114-1810
5116,67114-8265
5117,67654-2130
5118,67749
5119,66061
5120,66062-1660
5121,66062
5122,66062
5123,66061-3116
5124,66062-3932
5125,66062-1298
5126,66062
5127,66062-2900
5128,66064-1125
5129,67473-2511
5130,66067
5131,66067-0026
5132,66071-0326
5133,67357
5134,67357-2647
5135,67661-1910
5136,66762-1502
5137,66762
5138,66762-5407
5139,67663
5140,67124
5141,67752
5142,67665-2732
5143,67401-6212
5144,67401-3153
5145,67401-6416
5146,67401-2625
5147,67402-1754
5148,67401
5149,66538-1928
5150,66216
5151,66203-2937
5152,66217-9302
5153,66218
5154,66203-2848
5155,66216-1865
5156,66214-1372
5157,66216-2564
5158,66605
5159,66604-3805
5160,66604-4068
5161,66614
5162,66606
5163,66615-1335
5164,66604
5165,66611-2648
5166,66614
5167,66617-1158
5168,66604-1760
5169,66614
5170,66614-2443
5171,66614-2545
5172,66617-1143
5173,66605
5174,66614-2061
5175,66611-2208
5176,67880-2300
5177,66547
5178,66090
5179,67152
5180,67212-6388
5181,67212-4900
5182,67209-2125
5183,67208-3956
5184,67206-1362
5185,67209-2565
5186,67212-4072
5187,67213-1402
5188,67207-4327
5189,67208-4209
5190,67206-3915
5191,67211-2130
5192,67212-4377
5193,67206-2364
5194,67205-1764
5195,67206
5196,67203-4922
5197,67203-1820
5198,67218-3801
5199,67206-3409
5200,67207-3361
5201,67235
5202,67212-2894
5203,67204-5629
5204,67203
5205,67212-5204
5206,67217
5207,67226-5102
5208,67207
5209,67206-2837
5210,67213-2886
5211,67206-2563
5212,67206
5213,67230
5214,67212-3241
5215,67220-2221
5216,67218-2852
5217,67218
5218,67226-1190
5219,67156-3607
5220,42602-1659
5221,41001-1042
5222,41101
5223,41101-7733
5224,41102-9605
5225,40906
5226,40004-2076
5227,40004
5228,40004-1777
5229,40004-1521
5230,42025-1450
5231,42025-1146
5232,40403
5233,40108-1609
5234,42210
5235,42717-0129
5236,41005-0806
5237,42211
5238,41008-8313
5239,41008-0323
5240,42728-0489
5241,40701-1055
5242,40701-2795
5243,40701-1809
5244,40014-9516
5245,40014-0040
5246,41031-5992
5247,41031-2237
5248,40422-2402
5249,40422
5250,40422
5251,42409
5252,42701
5253,42701
5254,42701-1282
5255,42701
5256,42701-4650
5257,42701-7902
5258,42701-1408
5259,42701
5260,40019-1000
